"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1619","User login with wrong email or password","LMS system","Sun May 03 09:44:02 UTC 2026","passed","Sun May 03 09:44:03 UTC 2026","Authorization","Authentication","",""
"","1852","User login with wrong email or password","LMS system","Sun May 03 09:43:59 UTC 2026","passed","Sun May 03 09:44:01 UTC 2026","Authorization","Authentication","",""
"","2846","Navigation from login page to registration page","LMS system","Sun May 03 09:44:02 UTC 2026","passed","Sun May 03 09:44:04 UTC 2026","Authorization","Authentication","",""
"","1674","Navigation from login page to registration page","LMS system","Sun May 03 09:44:04 UTC 2026","passed","Sun May 03 09:44:05 UTC 2026","Authorization","Authentication","",""
"","3171","Edit course","LMS system","Sun May 03 09:44:09 UTC 2026","passed","Sun May 03 09:44:12 UTC 2026","Courses","Courses","",""
"","1481","Check displaying of empty courses list","LMS system","Sun May 03 09:44:07 UTC 2026","passed","Sun May 03 09:44:08 UTC 2026","Courses","Courses","",""
"","1643","Registration with correct email, username and password","LMS system","Sun May 03 09:44:05 UTC 2026","passed","Sun May 03 09:44:06 UTC 2026","Registration","Authentication","",""
"","1807","User login with wrong email or password","LMS system","Sun May 03 09:43:59 UTC 2026","passed","Sun May 03 09:44:01 UTC 2026","Authorization","Authentication","",""
"","2467","Create course","LMS system","Sun May 03 09:44:08 UTC 2026","passed","Sun May 03 09:44:11 UTC 2026","Courses","Courses","",""
"","1804","Check displaying of dashboard page","LMS system","Sun May 03 09:44:11 UTC 2026","passed","Sun May 03 09:44:13 UTC 2026","Dashboard","Dashboard","",""
