"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3329","Navigation from login page to registration page","LMS system","Sun May 03 09:52:37 UTC 2026","passed","Sun May 03 09:52:41 UTC 2026","Authorization","Authentication","",""
"","1511","User login with wrong email or password","LMS system","Sun May 03 09:52:37 UTC 2026","passed","Sun May 03 09:52:39 UTC 2026","Authorization","Authentication","",""
"","2214","User login with wrong email or password","LMS system","Sun May 03 09:52:35 UTC 2026","passed","Sun May 03 09:52:37 UTC 2026","Authorization","Authentication","",""
"","2225","User login with wrong email or password","LMS system","Sun May 03 09:52:35 UTC 2026","passed","Sun May 03 09:52:37 UTC 2026","Authorization","Authentication","",""
"","3232","Edit course","LMS system","Sun May 03 09:52:45 UTC 2026","passed","Sun May 03 09:52:49 UTC 2026","Courses","Courses","",""
"","2298","Registration with correct email, username and password","LMS system","Sun May 03 09:52:39 UTC 2026","passed","Sun May 03 09:52:41 UTC 2026","Registration","Authentication","",""
"","1602","Navigation from login page to registration page","LMS system","Sun May 03 09:52:41 UTC 2026","passed","Sun May 03 09:52:43 UTC 2026","Authorization","Authentication","",""
"","1922","Check displaying of dashboard page","LMS system","Sun May 03 09:52:48 UTC 2026","passed","Sun May 03 09:52:50 UTC 2026","Dashboard","Dashboard","",""
"","2729","Create course","LMS system","Sun May 03 09:52:44 UTC 2026","passed","Sun May 03 09:52:47 UTC 2026","Courses","Courses","",""
"","1647","Check displaying of empty courses list","LMS system","Sun May 03 09:52:43 UTC 2026","passed","Sun May 03 09:52:45 UTC 2026","Courses","Courses","",""
